	user_id	item_id	cluster
59	60	[1, 2, 644, 2821, 1412, 1160, 10, 143, 1301, 2327, 1944, 1820, 1693, 1308, 1567, 548, 294, 1324, 1453, 1713, 1714, 306, 2999, 2233, 58, 2747, 829, 2242, 200, 334, 345, 2650, 217, 1762, 612, 357, 107, 2027, 881, 2033, 1147, 3196]	0
152	153	[3, 2551, 3109, 3145, 2315, 3372, 845, 302, 562, 2995, 2805, 2198, 2966, 2745, 2459, 606]	1
89	90	[1536, 1, 516, 518, 2567, 1033, 2061, 2064, 2068, 1049, 2587, 1565, 32, 33, 2594, 1064, 1065, 44, 1580, 46, 1583, 49, 562, 1585, 588, 105, 2665, 107, 625, 2681, 2170, 2171, 2173, 2686, 2689, 135, 2695, 1165, 2707, 3228, 1698, 2723, 1187, 684, 2735, 2747, 1216, 2242, 1226, 719, 207, 721, 1232, 723, 1234, 3286, 1240, 729, 217, 2782, 1247, 1250, 1254, 1256, 1774, 2799, 1776, 242, 2807, 2808, 2817, 1281, 2819, 2310, 263, 1288, 2316, 279, 296, 1324, 1328, 314, 829, 1856, 2370, 2371, 836, 327, 840, 333, 1360, 1367, 344, 2905, 1369, 350, 354, 1382, 360, 2411, 369, 881, 2934, 1409, 1921, 1418, 919, 407, 1944, 2459, 1436, 1445, 421, 1960, 424, 1451, 2479, 1970, 438, 1463, 444, 1477, 2506, 2508, 1485, 1486, 2512, 1496, 1499, 494, 2032, 1526, 2551, 505, 1019]	2
182	183	[1792, 1667, 1156, 773, 2951, 903, 1800, 775, 779, 653, 3213, 1808, 2577, 2707, 2197, 1047, 2967, 791, 1051, 2331, 2459, 2075, 546, 1443, 2727, 3375, 2868, 2936, 1083, 1852, 2111, 3137, 321, 1092, 1351, 1098, 2378, 333, 1106, 1234, 1620, 982, 3032, 1753, 2656, 3041, 998, 3303, 2151, 2666, 1135, 752, 753, 2674, 1007, 1015, 380, 762, 507, 3196, 763]	3
4	5	[3078, 526, 2065, 2577, 1042, 24, 1049, 2074, 2587, 541, 29, 32, 33, 35, 550, 38, 40, 3115, 2604, 1583, 49, 562, 1078, 2633, 2638, 2664, 2666, 629, 639, 2694, 3211, 2188, 1683, 147, 2197, 3227, 2204, 161, 1698, 2218, 682, 2223, 2738, 2748, 3264, 3271, 1738, 1226, 3277, 722, 745, 757, 247, 2296, 762, 1274, 1276, 2812, 2303, 768, 2819, 2310, 1289, 275, 2325, 2326, 278, 2330, 2332, 1309, 1826, 2343, 296, 817, 1854, 2367, 2370, 836, 2378, 333, 1360, 1374, 1386, 2926, 2927, 2414, 884, 2934, 1925, 1420, 1932, 1934, 919, 923, 2459, 1436, 925, 1443, 1958, 1452, 428, 948, 1972, 1976, 3008, 1993, 2506, 3022, 3023, 1488, 974, 978, 468, 994, 2027, 2032, 1014, 2551]	4
7	8	[520, 526, 2064, 17, 16, 25, 2078, 547, 35, 2595, 38, 1064, 1586, 562, 1076, 56, 70, 2123, 105, 106, 2688, 642, 135, 1676, 146, 148, 2197, 1180, 1698, 2723, 2724, 2219, 1195, 1240, 2798, 2802, 2804, 757, 247, 2808, 2297, 2812, 2303, 2817, 2819, 2309, 267, 275, 1321, 1324, 314, 326, 2905, 1376, 354, 370, 1396, 2934, 895, 1921, 1409, 1934, 2459, 1436, 1963, 1452, 942, 1968, 2993, 1457, 1975, 447, 2506, 2512, 473, 475, 491, 494, 2033, 1011, 1523, 1014, 504]	5
162	163	[1, 6, 10, 2058, 2064, 20, 21, 2075, 43, 46, 49, 67, 2117, 2123, 2134, 86, 94, 105, 107, 2171, 2178, 135, 137, 138, 147, 148, 2197, 151, 153, 155, 2204, 157, 158, 2215, 2218, 182, 2233, 188, 2239, 192, 206, 2256, 217, 222, 242, 2298, 2309, 267, 269, 272, 275, 282, 2332, 293, 294, 297, 314, 2369, 2370, 2371, 337, 341, 345, 2401, 354, 357, 2416, 373, 2430, 391, 402, 406, 408, 409, 2459, 424, 426, 432, 2489, 446, 447, 460, 461, 2512, 478, 2538, 496, 2551, 510, 511, 513, 517, 518, 526, 2587, 547, 549, 550, 552, 2608, 562, 564, 577, 2639, 593, 612, 614, 616, 2665, 622, 2686, 2688, 2689, 642, 644, 645, 2694, 652, 669, 671, 2723, 677, 2735, 691, 699, 2749, 705, 708, 713, 716, 721, 740, 2791, 751, 2809, 2825, 2826, 2827, 2834, 2840, 2842, 2843, 2854, 2855, 2859, 2860, 2884, 876, 877, 2926, 2927, 885, 2934, 896, 2955, 2956, 919, 2968, 2970, 931, 941, 942, 2993, 2995, 948, 950, 3008, 3019, 3021, 3022, 3024, 3034, 3042, 997, 999, 3057, 1011, 1014, 1015, 1016, 3066, 1019, 3067, 1022, 1023, 3078, 1039, 1041, 1048, 3101, 3107, 1064, 1065, 3114, 3115, 1074, 3135, 1090, 3181, 3201, 1165, 1166, 1167, 1173, 1174, 1175, 1179, 1180, 3227, 3233, 3236, 1189, 3246, 3260, 1213, 1212, 3263, 1217, 1231, 1239, 1244, 3297, 1249, 1264, 3333, 1288, 1295, 1308, 3357, 1311, 1321, 1324, 1328, 1330, 1334, 1335, 1338, 1343, 1348, 1349, 1350, 3407, 1360, 1359, 3412, 1367, 1369, 1373, 1374, 1409, 1417, 1420, 1423, 1436, 1454, 1461, 1464, 1467, 1475, 1477, 1486, 1490, 1496, 1497, 1516, 1517, 1536, 1543, 1545, 1548, 1551, 1556, 1557, 1570, 1583, 1587, 1588, 1593, 1624, 1670, 1676, 1693, 1698, 1726, 1794, 1820, 1833, 1834, 1837, 1901, 1918, 1921, 1923, 1925, 1931, 1934, 1944, 1960, 1961, 1968, 1973, 1975, 1979, 1991, 1993, 2032, 2039, 2041]	6
168	169	[2048, 2049, 1, 3, 6, 11, 2060, 2061, 16, 21, 25, 32, 33, 35, 38, 44, 46, 49, 60, 67, 105, 106, 128, 135, 2186, 142, 146, 148, 2197, 2204, 165, 2232, 2233, 188, 2242, 206, 2262, 217, 235, 237, 242, 247, 2304, 2310, 2315, 275, 2325, 2326, 279, 294, 296, 310, 2367, 2370, 2371, 326, 333, 341, 347, 2399, 2400, 2402, 2403, 354, 357, 2405, 388, 2443, 399, 400, 407, 408, 2459, 424, 441, 447, 2512, 467, 473, 475, 494, 2544, 2551, 509, 516, 518, 520, 2587, 545, 546, 547, 548, 550, 551, 552, 556, 562, 2631, 589, 2639, 2665, 2676, 2686, 642, 2695, 653, 2723, 678, 684, 2734, 2742, 2747, 702, 719, 721, 747, 748, 749, 2798, 752, 753, 754, 2802, 2804, 757, 758, 759, 2805, 761, 762, 763, 2807, 2808, 768, 769, 771, 772, 773, 2819, 775, 2823, 2825, 2826, 2840, 797, 2848, 802, 803, 804, 2862, 818, 2883, 2889, 2891, 2893, 2905, 875, 2927, 2934, 896, 2951, 907, 909, 914, 2964, 2966, 2967, 920, 2968, 919, 922, 924, 927, 2975, 932, 933, 2984, 2987, 2988, 2993, 2994, 2995, 950, 955, 958, 3008, 3013, 3019, 3020, 974, 3031, 3041, 995, 997, 999, 1001, 3052, 1005, 1007, 1008, 1009, 1013, 1014, 1015, 1016, 1020, 1022, 1026, 1029, 3078, 1030, 1033, 1039, 1046, 1049, 1051, 1052, 1053, 1055, 1056, 3106, 1062, 1064, 1065, 1066, 3115, 3114, 1069, 1070, 1071, 3120, 1075, 1081, 1082, 1086, 1087, 1090, 1093, 1103, 1106, 3156, 1134, 1147, 1149, 1158, 1174, 3227, 3228, 1180, 1181, 3232, 3233, 1187, 1191, 1192, 3263, 3271, 1236, 3286, 1247, 1254, 1267, 1280, 3333, 3340, 3341, 3343, 1301, 3364, 3375, 1328, 1351, 1353, 1360, 1367, 1369, 1376, 1378, 1409, 1412, 1436, 1445, 1446, 1464, 1481, 1486, 1499, 1558, 1580, 1593, 1597, 1601, 1605, 1609, 1614, 1615, 1617, 1622, 1623, 1624, 1631, 1633, 1681, 1682, 1689, 1698, 1735, 1776, 1777, 1779, 1792, 1803, 1860, 1881, 1914, 1932, 1934, 1944, 1960, 1963, 1993, 2003, 2013, 2021, 2028, 2030, 2032, 2036, 2046, 2047]	7
189	190	[1, 1026, 516, 1029, 1031, 1037, 1039, 1041, 1044, 1051, 3101, 1057, 1058, 547, 550, 1065, 46, 562, 1593, 1084, 1087, 2626, 67, 1093, 1098, 1611, 3156, 1630, 1632, 1125, 1134, 1135, 2179, 1162, 3216, 3218, 2197, 2204, 1180, 1698, 2218, 1195, 2735, 721, 217, 2271, 748, 3313, 242, 2806, 247, 761, 2310, 3340, 275, 1324, 1840, 2353, 2370, 1860, 1353, 329, 1360, 2399, 2400, 2412, 876, 2940, 905, 1931, 1932, 396, 910, 919, 2459, 2464, 1445, 1451, 955, 2508, 2514, 988, 995, 998, 2543, 1008, 2032, 1015, 507, 1020, 1022]	8
4	5	[3078, 526, 2065, 2577, 1042, 24, 1049, 2074, 2587, 541, 29, 32, 33, 35, 550, 38, 40, 3115, 2604, 1583, 49, 562, 1078, 2633, 2638, 2664, 2666, 629, 639, 2694, 3211, 2188, 1683, 147, 2197, 3227, 2204, 161, 1698, 2218, 682, 2223, 2738, 2748, 3264, 3271, 1738, 1226, 3277, 722, 745, 757, 247, 2296, 762, 1274, 1276, 2812, 2303, 768, 2819, 2310, 1289, 275, 2325, 2326, 278, 2330, 2332, 1309, 1826, 2343, 296, 817, 1854, 2367, 2370, 836, 2378, 333, 1360, 1374, 1386, 2926, 2927, 2414, 884, 2934, 1925, 1420, 1932, 1934, 919, 923, 2459, 1436, 925, 1443, 1958, 1452, 428, 948, 1972, 1976, 3008, 1993, 2506, 3022, 3023, 1488, 974, 978, 468, 994, 2027, 2032, 1014, 2551]	9
