	user_id	rec_item_list
0	14681	[ 3 21  7  4 13 19  1 10  2  5]
1	14681	[ 6 14 27  4 24  0  5 26 19 21]
2	14681	[ 1  2 21 30  0 18 23 28  7 24]
3	14681	[ 6  5 25  8 21  0  1 20 12 15]
4	14681	[16  3 24 18  6 25  8  1  0  7]
5	14681	[ 9 11  1 23  4 17 14  8  5 29]
6	14681	[10  6 23 22  2 16  5 24 15 11]
7	14681	[26 18  0  6 22 14  4 13 25 30]
8	14681	[ 6 27 28 20 11 16  0 30  9 26]
9	14681	[22 19 18  9 27 11 30 25  6  2]
10	14681	[ 9 25  8 26 12 22  2 20  3  4]
11	14681	[ 8 12 16 10  9  1  4  6  5 21]
12	14681	[18  3  8 26 11  5 20 10 13 22]
13	14681	[ 2  8 20  9  1 15 12  3 13  6]
14	14681	[25 14 27  8 29 24 10  6  5 20]
15	14681	[17  1 26 18 14  0  9 29  5  4]
16	14681	[ 9  0 17  1 27  4  8 13  3 23]
17	14681	[16  5 29 27 18  0  8 17 30 22]
18	14681	[29  1 10 18 30  8 22 12 25  5]
19	14681	[24  1  4 20  6 21 25 10 17 13]
20	14681	[12  0 16  8  3  4 30  9  1 25]
21	14681	[ 5  2 13 17  7 30 25  0  9 28]
22	14681	[15  5 11  6 21  0  1  9 13  2]
23	14681	[12  6  3  4  1 29 13 26 18  5]
24	14681	[ 6 13 28 14  1  3 26 20  9 25]
25	14681	[15  7 11 27 19  0 25 10 12  3]
26	14681	[22 19 12  5 27 26  0 10  8 13]
27	14681	[30  1 27 29  0  4 19 18  5 11]
28	14681	[ 4 17 16  2 19  9  0  3  1 29]
29	14681	[19 29 21 16 25  3 15 13 22 20]
30	14681	[18  3 25  8 12  2  7 26 21 16]
31	14681	[21 10 16  1 14 29 15 13 12  0]
32	14681	[29  1 17 28 19  8  6  5 26  0]
33	14681	[26 12  1 27  7  4 21 28  0 25]
34	14681	[ 0  5 28  7 17  9 16 12 19 26]
35	14681	[ 5  9 16  4 20 14 12 21  2  8]
36	14681	[ 5 21 10  2  4 24 14  1 12  0]
37	14681	[ 8 30 18 10  1 13 26 22 29  6]
38	14681	[12  0 11  6  3  2 21 14  1 24]
39	14681	[ 7 24 22  9  1  3 20  5  2 25]
40	14681	[ 9 27 21 13 25 30 16 14 24 10]
41	14681	[ 9 18 27 15 28 29 10  6  7 20]
42	14681	[ 2 11  8 19 16 26  9 21  4 24]
43	14681	[ 9 17  8 14  7 21  0  2  5 23]
44	14681	[17 12 26 24 11 16  9  3  4 22]
45	14681	[22  1  6  5  4 30 29  0 11 24]
46	14681	[12  2 27 10 26  7 23  4 22 13]
47	14681	[ 7 19 27  2 11 15 17 20 28 22]
48	14681	[28  2 18 17  3  9 22 15  0  1]
49	14681	[ 9 12 23 28  1 30 18 17 24 27]
50	14681	[14 11 13  0  1 17 15  9 27 25]
51	14681	[26  5 20  0 13  2 14 16  1 23]
52	14681	[ 0 16 29 27 15  2  4  9 10 11]
53	14681	[10  2 17 19  4 22 20 14  1  0]
54	14681	[ 5 12  8 17  3 24 25  0 29 15]
55	14681	[18  3 15 13 29 12  8  2  1  0]
56	14681	[ 1 14 19 25 16 15 11  4 12 24]
57	14681	[ 7  2 15 19 18  0  3  5  8 21]
58	14681	[ 1 25 24 30 12 11 29 27  7  2]
59	14681	[ 1  7  0 22 29 18 16 19 15 26]
60	14681	[17 14  7 11 13  0 30 27  4  6]
61	14681	[ 8  2  4 23 26 13 29 22 17  0]
62	14681	[ 0 20 28 14 23 27 24 25  1 15]
63	14681	[10 15 29  5  9 16 13 24 27 14]
64	14681	[11 27  7 23 19  9  4 16 12  8]
65	14681	[18 11  3  1 29  6  2  8  9  0]
66	14681	[15 26  8 22 10  0 12  2 27  5]
67	14681	[30 22  0 19 13 24  1  5  4  8]
68	14681	[ 0  3 10 19 12  2  6  8 26  4]
69	14681	[18 25 13  1 22  2 16  7 12 14]
70	14681	[ 3 29  6  0 30  1 21 15 18 10]
71	14681	[ 4  7 30  0 29 19 17 26  3  1]
72	14681	[11 29  0 25 22  6 10 26 30  3]
73	14681	[14 13 16  0 19  4  1 24 20 15]
74	14681	[11  6 13 25 16  9 22 27  2  0]
75	14681	[ 7 13  5 18 24  1 11 12 15 17]
76	14681	[10 15  2 18  8 23 19  6 26 20]
77	14681	[ 5  0 18 19 10  3  1 21 26  4]
78	14681	[ 1 16  8 15 19 26  0 17 10 28]
79	14681	[11  9 20 28 30  7 27 26 17  1]
80	14681	[10 23  7 27  3  9 26  4  2  1]
81	14681	[28 23 26 18 12 16  9 10 22 24]
82	14681	[20  5  7  1 21  0 28 29 12 15]
83	14681	[29 21  9 14  3  6 11 25 26  8]
