	user_id	rec_item_list
0	6040	[ 23  76 327  62 334  44 102 126 216 169]
1	6040	[ 33  84 246  20  62 182  54  16 309 106]
2	6040	[  4  98   2   0   3 304 235  71 202   1]
3	6040	[142  18 328 222   9   0 324   2 246 279]
4	6040	[230 175 223 331  89  92  16 335 214  44]
5	6040	[  2   4 188   1   3 138 232 172 215   0]
6	6040	[223 212 253 267 174   0 219 313 242 172]
7	6040	[104  90   5 122 288 223 157   7   2   0]
8	6040	[ 54   8 213 107 197 155   3   1 164   5]
9	6040	[283 170 247 181 238 224 302 106 276 208]
10	6040	[  1 204 277   0 267  81 309  60   3   2]
11	6040	[215 320  73   0 253   4  14   1 241   2]
12	6040	[109 296 261 210 118   1  64   0 168 285]
13	6040	[160 238 156  89 215 191 274   1 333   7]
14	6040	[  0   6 128 297   3   1   2 148 232   4]
15	6040	[ 91   7   8   9   4  27   1 232 147 103]
16	6040	[ 40  43  83 188  80  65 235  89 254   3]
17	6040	[ 36 275 300 252  85  84 228  41 314 225]
18	6040	[119 124 279 206   2 236  41 163  42  11]
19	6040	[  1  16 340 132   0 173 160  41 284 110]
20	6040	[262 150 146 194  80  95 124  81 209 192]
21	6040	[ 74  63  28  64 104 228  14 220 313 138]
22	6040	[  1 182  83  75 179 318   4 278 274  32]
23	6040	[269 133 225  37 252  82 263 166 249   2]
24	6040	[  0  81 321 159   1 130 183   2 312 201]
25	6040	[289 132 163 271 118  64  95 320  43  79]
26	6040	[140 240   0   4 173  62 327  97   6 279]
27	6040	[  5   8   2   4 303   3 287 270 115   0]
28	6040	[  0 256   4 207 142  23   5 161   3   1]
29	6040	[  1 131 225 185 194   7 318 152 254  70]
30	6040	[  2   4  31 220   0 163 127 271  28 336]
31	6040	[109 301 176   9 295  71 247   1  59   5]
32	6040	[239  85 240 334  91 315   0  69  90  75]
33	6040	[182 336 230  57 231 319   4 337  25   5]
34	6040	[  0 201  33   5 261 204   2 135  64 288]
35	6040	[  7  90 115  21   0 144   6   1   5 159]
36	6040	[189 130 299 123   8   7   6 153  68 205]
37	6040	[  6   1   7   2 151  38   5   9   3 154]
38	6040	[262 302 160 122 261 207 329 293 202  47]
39	6040	[ 21 293  24 249   3 158 193 276 242 185]
40	6040	[326  69  13   0 117  55 244  33  12   9]
41	6040	[266   0 311  39 233 295   5   4  50 306]
42	6040	[  3 112 251 301   5 188 324 203  71 221]
43	6040	[128  27 136  60 201 334 292  91 200 225]
44	6040	[ 83  52 271 297 181  17  49 208 109 327]
45	6040	[  0 293  67 232  74  43 314   4 251  69]
46	6040	[191 184   0 171 256   3 183 285   9  59]
47	6040	[  7  95  94   3   0   4 291   5  49  23]
