	user_id	rec_item_list
0	6040	[ 62 126 327  76 102]
1	6040	[ 54 309  62 182 246]
2	6040	[304   2   3   0 202]
3	6040	[324   2 279 222  18]
4	6040	[175 331  44 223 335]
5	6040	[232   4   0   3   1]
6	6040	[172 242 212 253 267]
7	6040	[  2  90 288 122 104]
8	6040	[213   5   3 155 107]
9	6040	[276 181 238 247 224]
10	6040	[309   1 267   3   0]
11	6040	[253   4 215   1   0]
12	6040	[  1  64 168 296   0]
13	6040	[274 191 333   1   7]
14	6040	[128   0   1   2 297]
15	6040	[ 7  1  9  8 27]
16	6040	[188 235  89   3  83]
17	6040	[ 36  84 300  85 225]
18	6040	[ 42 236 163   2 206]
19	6040	[173   1  16  41 160]
20	6040	[262 192 150 209  81]
21	6040	[104 228  74  63 220]
22	6040	[179 182  75 274 318]
23	6040	[225 252 249  82 166]
24	6040	[312   0 130 321 201]
25	6040	[163 132  43 289  64]
26	6040	[  6 173 140 240   0]
27	6040	[  8   5   0 270   4]
28	6040	[207 256   1   5   0]
29	6040	[152 318  70 185   7]
30	6040	[220   4   2 336 163]
31	6040	[  9 295 109  71   1]
32	6040	[334  91  69  85  75]
33	6040	[231   4 182 230  25]
34	6040	[201   2 261   0 204]
35	6040	[  6  90 159 144   0]
36	6040	[205   7 153 130 189]
37	6040	[2 6 5 3 7]
38	6040	[122 202 329  47 207]
39	6040	[242 185 249 158 276]
40	6040	[326  13 117  69   0]
41	6040	[ 50 311   4  39 295]
42	6040	[112 324 251 188   3]
43	6040	[225  91 200 128  60]
44	6040	[ 83 297 181  17  52]
45	6040	[  4  43  74   0 232]
46	6040	[183 191 256   3   0]
47	6040	[  3   5   4   7 291]
48	6040	[  3   2 185 272 296]
49	6040	[179 230   5   2   0]
50	6040	[  3   7   0   1 325]
51	6040	[ 61 192 252 115 333]
52	6040	[294   5 325   2  27]
53	6040	[ 10   3   2   0 270]
54	6040	[  0   4 339  96 218]
55	6040	[242 117 209  86 140]
56	6040	[158 316 324 157   9]
57	6040	[ 74   2   7 113   5]
58	6040	[290 166  70 154 260]
59	6040	[  1 295 280 326  59]
60	6040	[255   0 237   2   9]
61	6040	[321   1 112  54 311]
62	6040	[110  29   6  11   4]
63	6040	[303 325 301 161 196]
64	6040	[240 163  19  20 182]
65	6040	[  3  71   8 271 154]
66	6040	[  5   4 129 190   6]
67	6040	[  2   0   5 293 229]
68	6040	[  5 255   0   2   4]
69	6040	[227 107   5  35   3]
70	6040	[289 320  70  47 137]
71	6040	[  0  48 240 114   1]
72	6040	[  0 275 226   3   4]
73	6040	[  2   8 191 122 325]
74	6040	[241 160 195 327 215]
75	6040	[  2 156 220   4   5]
76	6040	[  5 106   6   1   0]
77	6040	[143 149  60 162 337]
78	6040	[156 197 132   9   3]
79	6040	[  0 109  17   9   2]
80	6040	[175 243  20   1 329]
81	6040	[164 190  14   5 172]
82	6040	[264   3   1 314 163]
83	6040	[315 116  12   0   3]
84	6040	[223 192   3 332   6]
85	6040	[ 90   6 275 154   7]
86	6040	[217 152   7   1   6]
87	6040	[  6  86 273 294 279]
88	6040	[193 310 241   6 211]
89	6040	[279   1   3   6 139]
90	6040	[210  21 149  11 134]
91	6040	[5 4 7 2 1]
92	6040	[282 210   2  18 186]
93	6040	[332 306 186 253 260]
94	6040	[201   1 182   0   3]
95	6040	[  5 282   4   3 164]
96	6040	[235 234 164 252 335]
97	6040	[  1 314 209 156   9]
98	6040	[ 82 327 197   0 174]
99	6040	[ 38 211   2 254 234]
100	6040	[25  6 23 45  1]
101	6040	[  2   9 281   1   0]
102	6040	[ 81 153   8  42   2]
103	6040	[199  86  56 205   3]
104	6040	[ 8  4 50  7  3]
105	6040	[120  35   5   2 131]
106	6040	[102  94   7   8 208]
107	6040	[303  71 289 324 208]
108	6040	[219 310 279   2 266]
109	6040	[296   2 338   5   7]
110	6040	[199 111 332 156 192]
111	6040	[328 212 219  51 113]
112	6040	[  4 195 156 107 168]
113	6040	[253 297  62   0  26]
114	6040	[164   6 222  93 336]
115	6040	[339 171 217  16   6]
116	6040	[204 224   6 286 263]
117	6040	[ 31 333   3 290   4]
118	6040	[  2   6   5   9 307]
119	6040	[ 75 193   6   0   2]
120	6040	[ 37 338 184   3 309]
121	6040	[  2  73 184 326 270]
122	6040	[108 155  52   0 321]
123	6040	[339   8   7 277   4]
124	6040	[340 269 223 108 260]
125	6040	[  7   8 210 140  81]
126	6040	[252 224 241  25   0]
127	6040	[ 92 169 136  87 311]
128	6040	[0 9 2 3 1]
129	6040	[179   9 102 237 292]
130	6040	[ 93   1 209   0 334]
131	6040	[136  26 292 286 143]
132	6040	[  2 340   3 323   5]
133	6040	[ 2 46 52  3  6]
134	6040	[131   8   1 278 260]
135	6040	[  1  47 239   2 215]
136	6040	[131 220  98 216   8]
137	6040	[ 13   8   7 212  21]
138	6040	[  7   5   6 124 196]
139	6040	[ 88 153 142 263 192]
140	6040	[134 209   2 169 226]
141	6040	[233 301 197 241 274]
142	6040	[ 54  59  51 147  52]
143	6040	[  2   4   3 206   0]
144	6040	[119 103 208 104  31]
145	6040	[ 58   1  99 201 312]
146	6040	[239 164  52 203  17]
147	6040	[148 246   7 302   1]
148	6040	[ 30   7   8   4 336]
149	6040	[ 80 170  90   3   5]
150	6040	[  0 222   2 113   4]
151	6040	[324 185 238 104 259]
152	6040	[287 338   0  50   1]
153	6040	[337 101 249 187 136]
154	6040	[144 294   4 300 296]
155	6040	[200  54 242 265  62]
156	6040	[204   1  14   8   4]
157	6040	[  1  56   3 195   5]
158	6040	[200 167  53 148 204]
159	6040	[ 36 226 195   4   1]
160	6040	[322  62  64 219 105]
161	6040	[134 188  86 116   7]
162	6040	[149  89  54 116  83]
163	6040	[291 138  54  11  29]
164	6040	[296  76  73 202 212]
165	6040	[232  31 302 203 337]
166	6040	[173  10  58 158 188]
167	6040	[104 150 222   8 305]
168	6040	[  0 337  44 117  86]
169	6040	[  3  81  15 142 265]
170	6040	[317  41   1   0  17]
171	6040	[ 51   2 230   8   3]
172	6040	[264   2 317   7   3]
173	6040	[ 38 239 114  93  26]
174	6040	[  1 316  49 314 292]
175	6040	[  4 148 170   5   2]
176	6040	[307 323 242 245  30]
177	6040	[ 93 218 309 119 117]
178	6040	[ 10  85 231 207 145]
179	6040	[185 206 179  47 209]
180	6040	[249   8   6 283   3]
181	6040	[145 140 150 254 310]
182	6040	[322 163   3  56 277]
183	6040	[ 9  0 39 26  2]
184	6040	[288 161  31 327  16]
185	6040	[296  50  20 254 127]
186	6040	[  5 221  72 158 127]
187	6040	[244 192 293 106 233]
188	6040	[162 276  17 326 190]
189	6040	[  3  34   2 101   0]
190	6040	[279  38  96  19  91]
191	6040	[243 151  45 235  71]
192	6040	[  2   3   0 238   8]
193	6040	[198   7   9  90 238]
194	6040	[326 100   0   3  29]
195	6040	[  2 282 111  92   4]
196	6040	[169 329 193 174 146]
197	6040	[338 272  80 314 137]
198	6040	[  0   2 258 125   4]
199	6040	[163   3 271 131 287]
200	6040	[299 201  55 150  91]
201	6040	[ 23 210  41 182 119]
202	6040	[318   6   5 221 204]
203	6040	[339 121  75 296  28]
204	6040	[135 114   1   3 261]
205	6040	[ 26 205 145   3   0]
206	6040	[  0 194  10 129 330]
207	6040	[308   3 139   0 145]
208	6040	[  7  27 179   4   0]
209	6040	[201  13 182 137 286]
210	6040	[ 19 138  10 126 135]
211	6040	[  5 130 245 111 140]
212	6040	[301 239 193   3 237]
213	6040	[ 61 241 247 312   6]
214	6040	[310 106   8 280  74]
215	6040	[117 200 142   4 317]
216	6040	[190   1   0 223   7]
217	6040	[165 141 147  15 120]
218	6040	[293 241 209 321 217]
219	6040	[  4   2   0 318 195]
220	6040	[  3   2   0   1 271]
221	6040	[116   9  48  92 129]
222	6040	[133 271 169 154  54]
223	6040	[ 14  60 157   6 286]
224	6040	[  3   0 203   9   1]
225	6040	[281   2   1 229   9]
226	6040	[  0 119   1   2 170]
227	6040	[160 275  26 314 141]
228	6040	[194 244 303 135 268]
229	6040	[ 19   6 150 271 177]
230	6040	[5 6 1 3 2]
231	6040	[136  25   8  37 238]
232	6040	[168 320   1  24 196]
233	6040	[ 72 265 219 168 225]
234	6040	[  0 250 334   1   6]
235	6040	[102 325   1 332 176]
236	6040	[  1 327 204 252   5]
237	6040	[ 59 269 179 292 170]
238	6040	[122   5 190  63 111]
239	6040	[ 73 123  65 168 262]
240	6040	[214  17 241 168 339]
241	6040	[  0   1   3   4 149]
242	6040	[203 195  30 194 310]
243	6040	[ 27  37 112 253 196]
244	6040	[  4   5  84   2 124]
245	6040	[ 85   2 172 116 268]
246	6040	[119  21 160   0  95]
247	6040	[  4  20 212 152   7]
248	6040	[322 107  95 146 127]
249	6040	[315  33  58 226 136]
250	6040	[  1 191 207 262 159]
251	6040	[  4   3 309   0   2]
252	6040	[  3 280  89 224   0]
253	6040	[  9 257 332   5   3]
254	6040	[67 97  2  6  5]
255	6040	[220 155  99 252 263]
256	6040	[304 101 184   9   7]
257	6040	[  8 331   3 339 127]
258	6040	[  4   5   8 241   2]
259	6040	[331  86 276 154  81]
260	6040	[229 173 284 287   4]
261	6040	[290  13 321   9 326]
262	6040	[ 54 246 187  83   0]
263	6040	[149   9   5 115   6]
264	6040	[259 197 111  86   8]
265	6040	[ 20 151 255 160 110]
266	6040	[180 219 200 316 210]
267	6040	[183   4  17 309 285]
268	6040	[  6   4 192 286 171]
269	6040	[302  92 211 256 295]
270	6040	[164  46 138 266 112]
271	6040	[232   0 321  84 187]
272	6040	[248   2  68 137   4]
273	6040	[  8  80 193   0   1]
274	6040	[275 115 148  12 336]
275	6040	[294  72 129 307   0]
276	6040	[219   6   4   9  57]
277	6040	[110 331  44 236 222]
278	6040	[103   2 174  68   9]
279	6040	[  7  16  95   1 273]
280	6040	[107 241 298 184 201]
281	6040	[  2 193 124   5  38]
282	6040	[298 237 319 203  31]
283	6040	[101 241 286  25 109]
284	6040	[139   0   1 329   4]
285	6040	[  8   0   2   3 276]
286	6040	[310   2   4   9   0]
287	6040	[200 183 174  25 212]
288	6040	[ 53 126 335   6  60]
289	6040	[ 40   5   1  41 272]
290	6040	[340   5   0  52 274]
291	6040	[282  24 172 179 173]
292	6040	[  3   2   6   1 123]
293	6040	[131 236   7   9  32]
294	6040	[286   0  52  74  40]
295	6040	[168 261 201  82 316]
296	6040	[ 21  34   1  46 264]
297	6040	[  8  84 140   1   5]
298	6040	[325 255  28  59 242]
299	6040	[258  31  24   1 278]
300	6040	[ 40 141 300 142 340]
301	6040	[128 303 116 194 111]
302	6040	[ 82 108   1 201 290]
303	6040	[168  21 192 147 334]
304	6040	[304 171 320   8 264]
305	6040	[198 275 169   2 317]
306	6040	[320 208 138   5  36]
307	6040	[306   6 336 305   7]
308	6040	[272 255 289 126 202]
309	6040	[  0  64   1 317   2]
310	6040	[  3  84 130 288   2]
311	6040	[127   4   2 176 131]
312	6040	[  4 275  38 162   6]
313	6040	[295 330 269 312 125]
314	6040	[ 4  3 37  1  0]
315	6040	[224  78  82   3 140]
316	6040	[271   2 158   7 332]
317	6040	[ 41  83 335 136 306]
318	6040	[  0 309   3  84  34]
319	6040	[ 51  45  28 220   2]
320	6040	[123 328 211   7   2]
321	6040	[ 83   3  57 279  79]
322	6040	[333  20 252 157 144]
323	6040	[  0 122 200 144 211]
324	6040	[156 193   6  15 327]
325	6040	[209  13   6  10 207]
326	6040	[  5 250  36   1 159]
327	6040	[247  53  21 273 192]
328	6040	[265   1 101   4 293]
329	6040	[270 179  11 332  28]
330	6040	[328   7  12 194   2]
331	6040	[168 219 302 215 171]
332	6040	[ 44 150 161  65   0]
333	6040	[270 337 234  72  84]
334	6040	[  8   2  34  12 254]
335	6040	[226  96  80 283 320]
336	6040	[ 17 117 172  98 213]
337	6040	[ 98   0   8  29 205]
338	6040	[108 205 236 144 134]
339	6040	[ 91 100  35 220 168]
340	6040	[  3 320   9  36  44]
341	6040	[271   1 259 168 217]
342	6040	[233 281  45 302 164]
343	6040	[321 266 108 326 166]
344	6040	[211 315 178 191 256]
345	6040	[  9 308 201 264 109]
346	6040	[113 120 122  46   0]
347	6040	[ 26   8   7  67 238]
348	6040	[ 74 275 147 178  47]
349	6040	[ 86 284 140   2 212]
350	6040	[118 185   2 286 285]
351	6040	[  1   0 153  71 118]
352	6040	[  1 234 120   2   4]
353	6040	[221   0 196 322 176]
354	6040	[104  50  62 100  49]
355	6040	[ 96  47  71  74 199]
356	6040	[135 288 177 175 118]
357	6040	[166 202   2  90 165]
358	6040	[117 129 251 288 212]
359	6040	[195 163   1 219 182]
360	6040	[  0  40   5   1 323]
361	6040	[  4   2   1 332 141]
362	6040	[127 326   0 256 308]
363	6040	[ 54  70 298 257   4]
364	6040	[ 88 294 220   3 107]
365	6040	[18  1 36  0  5]
366	6040	[331 159 266 193 178]
367	6040	[213  66   0  82   3]
368	6040	[122 272 216   3 334]
369	6040	[208   8 116 115 102]
370	6040	[168 218 133  45 209]
371	6040	[  0 190   1 262  99]
372	6040	[299 176 277 181   3]
373	6040	[225 269   9 265   7]
374	6040	[144 250 190 257   0]
375	6040	[ 1  7  5 94  8]
376	6040	[  0 122   4 181 234]
377	6040	[  6   4  14   3 302]
378	6040	[  8 156   0   1 323]
379	6040	[  5 323 226  95 250]
380	6040	[ 49 112 183  97  10]
381	6040	[ 71 291 229 125  15]
382	6040	[300 308 253   2   0]
383	6040	[167 215 119 310 247]
384	6040	[237 248 117 216 180]
385	6040	[340 209   1  12 100]
386	6040	[311   9  45 202 101]
387	6040	[ 83  94 183  35 232]
388	6040	[326 234 249 324 237]
389	6040	[252 185 144  47 133]
390	6040	[ 75 271 199  60 286]
391	6040	[  3   7 236  90  67]
392	6040	[27  0  2  1  4]
393	6040	[234   4   3   1   0]
394	6040	[  3   2 168 125 315]
395	6040	[ 34  42 229 317   1]
396	6040	[235  66 109  58 281]
397	6040	[308 109   4   1   2]
398	6040	[107 228 262  62   0]
399	6040	[ 58 326 149 320 250]
400	6040	[101  35 333   7   2]
401	6040	[328   6 330  95 318]
402	6040	[284 334   5  33 122]
403	6040	[224 304 287 256 177]
404	6040	[  9 136   2 319  64]
405	6040	[255 149  15 204 146]
406	6040	[  7 174  61  29 131]
407	6040	[ 64 335  53   3   2]
408	6040	[  8 181   7 171   2]
409	6040	[ 75 259 266 283 234]
410	6040	[314 326 178  25   1]
411	6040	[ 96  13 221  66 206]
412	6040	[297 311  36 113 270]
413	6040	[233 326   2 328 286]
414	6040	[282  15 175  23   2]
415	6040	[145   0   1 309 274]
416	6040	[220 294 276 282   9]
417	6040	[139   2 151   1  73]
418	6040	[9 2 6 8 5]
419	6040	[ 33  85 332 177 283]
420	6040	[327 259   9 251 122]
421	6040	[2 0 5 4 1]
422	6040	[161 340 212 114 229]
423	6040	[125  19  44 260   0]
424	6040	[291 255  84 126 236]
425	6040	[  0 246 160   1   2]
426	6040	[158  56   3 317   0]
427	6040	[230 187 213 294 249]
428	6040	[  9   8   6 156   0]
429	6040	[ 5  4 25  6  3]
430	6040	[172   5  15 294   9]
431	6040	[ 44 197  70   0  86]
432	6040	[  3 211   2  66  80]
433	6040	[  1 235 237 219  96]
434	6040	[ 8 72  5  6  4]
435	6040	[ 45 324  58 300   8]
436	6040	[140 268 130 269  36]
437	6040	[ 79 331 204 274   8]
438	6040	[255 178 155  32 207]
439	6040	[231 119  20 229 188]
440	6040	[ 13 331  45  28 178]
441	6040	[ 80 122 265 322   3]
442	6040	[153 206 266 171 298]
443	6040	[271 145 158 118 256]
444	6040	[190  86 224  71 148]
445	6040	[289  94 250 294 275]
446	6040	[202 234 296 103 320]
447	6040	[  0 206   5   3  49]
448	6040	[167 247  50 173   2]
449	6040	[ 52 143   2  47  89]
450	6040	[  8 258 188  80   2]
451	6040	[180 184 253 133 228]
452	6040	[318   8   7 209   2]
453	6040	[  0 170 112 301 108]
454	6040	[  3   7 318 238 235]
455	6040	[ 85  78  89   3 340]
456	6040	[280 291  69   6 118]
457	6040	[  2 229 181 231   4]
458	6040	[29 61  7 99 46]
459	6040	[290  89 236  68 103]
460	6040	[158  91 129 327 255]
461	6040	[ 74 266   1 238 109]
462	6040	[  1  98 290   3 124]
463	6040	[  3   7 234   2   5]
464	6040	[ 59   1 314   4 184]
465	6040	[  9 228 116 218 259]
466	6040	[ 58   1 218  24 252]
467	6040	[ 57   3 150   2   5]
468	6040	[  7   2 123   0   1]
469	6040	[ 15  65  36 258 179]
470	6040	[123 291 131 222 139]
471	6040	[ 5  4  3 16 48]
472	6040	[246 112  90 219 222]
473	6040	[164 318 298 227  67]
474	6040	[ 16  40 317 244 247]
475	6040	[ 0  9  4 36  7]
476	6040	[  1 316  13 327   2]
477	6040	[103   8 135  19 116]
478	6040	[227 176 306 289   6]
479	6040	[254 291 262 116  52]
480	6040	[120  20  10  66 256]
481	6040	[ 70 202   5  94  22]
482	6040	[117  42 328 231 198]
483	6040	[  2  16 188  19 333]
484	6040	[  1 184  12 306   6]
485	6040	[248   1 300 290   0]
486	6040	[  1   0 174 270 287]
487	6040	[249   3  67   1   4]
488	6040	[  0 177   5   3   6]
489	6040	[276 181  52   0  62]
490	6040	[243   6  82   0 108]
491	6040	[152  12 196 248   4]
492	6040	[  1  49 272  81  15]
493	6040	[  7  95  37  16 151]
494	6040	[  6   5   7 111 106]
495	6040	[ 15 228  72 275  96]
496	6040	[141 163 260 155 156]
497	6040	[ 52 284   8  89  18]
498	6040	[ 84  90  60 112   9]
499	6040	[243   4 268  10 317]
500	6040	[114 136 307 294 292]
501	6040	[ 32 246 124 298 237]
502	6040	[246 297  76 112 220]
503	6040	[205 129   1   0 313]
504	6040	[8 2 1 7 0]
505	6040	[230   3   1   5  94]
506	6040	[ 34 145 201 254 283]
507	6040	[297 205 110 197 139]
508	6040	[304 162 165   4 218]
509	6040	[  2 177   7 134 324]
510	6040	[  0   7 232   3 113]
511	6040	[149 265  69   5 230]
512	6040	[248 163  55   5   0]
513	6040	[  9 301 148 195   8]
514	6040	[112 332 222   2 323]
515	6040	[105 267   0   1 158]
516	6040	[ 82 187 221  74 295]
517	6040	[  2   1   0 173  85]
518	6040	[251 291 157 146 307]
519	6040	[ 0 39  5 79  6]
520	6040	[  9   7 169   8 296]
521	6040	[215  71   6 302   0]
522	6040	[251  72  67   9 289]
523	6040	[253   2 294 306 119]
524	6040	[9 0 8 1 3]
525	6040	[323   3 121 282 245]
526	6040	[143 265 292  69 211]
527	6040	[ 42 233 140 308  81]
528	6040	[319   7 181 304  38]
529	6040	[ 34 191 235 261 312]
530	6040	[170 158   2 138   5]
531	6040	[224  13  47   5 137]
532	6040	[161   5 167   3   4]
533	6040	[  0 235   2 154 338]
